Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014, 10, 1, 1, 8, 47, 2.13, 18.90, 1.90
2014, 10, 1, 1, 8, 48, 2.08, 18.18, 1.90
2014, 10, 1, 1, 8, 49, 1.98, 18.74, 1.90
2014, 10, 1, 1, 8, 50, 1.82, 16.64, 1.90
2014, 10, 1, 1, 8, 51, 1.95, 19.30, 1.90
2014, 10, 1, 1, 8, 52, 1.95, 18.90, 1.90
2014, 10, 1, 1, 8, 53, 2.08, 18.34, 1.90
2014, 10, 1, 1, 8, 55, 2.03, 18.42, 1.90
2014, 10, 1, 1, 8, 56, 1.95, 18.74, 1.87
2014, 10, 1, 1, 8, 57, 1.98, 18.66, 1.90
2014, 10, 1, 1, 8, 58, 2.00, 18.98, 1.87
2014, 10, 1, 1, 8, 59, 2.05, 18.74, 1.87
2014, 10, 1, 1, 9, 0, 2.03, 19.06, 1.87
2014, 10, 1, 1, 9, 1, 1.98, 19.30, 1.90
2014, 10, 1, 1, 9, 2, 2.08, 18.82, 1.87
2014, 10, 1, 1, 9, 4, 1.98, 18.98, 1.87
2014, 10, 1, 1, 9, 5, 1.60, 17.05, 1.90
2014, 10, 1, 1, 9, 6, 1.95, 18.90, 1.90
2014, 10, 1, 1, 9, 7, 1.93, 19.38, 1.87
2014, 10, 1, 1, 9, 8, 2.00, 19.06, 1.90
2014, 10, 1, 1, 9, 9, 2.13, 18.66, 1.87
2014, 10, 1, 1, 9, 10, 2.00, 19.14, 1.87
2014, 10, 1, 1, 9, 11, 2.13, 16.73, 1.87
2014, 10, 1, 1, 9, 12, 2.03, 18.90, 1.90
2014, 10, 1, 1, 9, 13, 2.15, 17.53, 1.87
2014, 10, 1, 1, 9, 14, 2.10, 18.82, 1.87
2014, 10, 1, 1, 9, 16, 2.13, 17.93, 1.90
2014, 10, 1, 1, 9, 17, 1.98, 18.74, 1.87
2014, 10, 1, 1, 9, 18, 2.03, 18.98, 1.90
2014, 10, 1, 1, 9, 19, 1.98, 19.22, 1.87
2014, 10, 1, 1, 9, 20, 2.00, 19.14, 1.87
2014, 10, 1, 1, 9, 21, 1.98, 19.14, 1.87
2014, 10, 1, 1, 9, 22, 2.10, 17.05, 1.87
2014, 10, 1, 1, 9, 23, 2.03, 18.90, 1.87
2014, 10, 1, 1, 9, 24, 2.65, 18.18, 1.83
2014, 10, 1, 1, 9, 25, 2.00, 18.50, 1.83
2014, 10, 1, 1, 9, 26, 1.98, 19.06, 1.87
2014, 10, 1, 1, 9, 28, 2.03, 20.59, 1.87
2014, 10, 1, 1, 9, 29, 2.13, 18.42, 1.87
2014, 10, 1, 1, 9, 30, 1.85, 17.05, 1.87
2014, 10, 1, 1, 9, 31, 2.13, 18.50, 1.87
2014, 10, 1, 1, 9, 32, 2.13, 18.74, 1.87
2014, 10, 1, 1, 9, 33, 1.77, 17.21, 1.83
2014, 10, 1, 1, 9, 34, 2.00, 19.06, 1.87
2014, 10, 1, 1, 9, 35, 2.10, 16.40, 1.83
